,title,price,link
0,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","28,999",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MTc4NTEyOTI1ODY2MTc3OjE3MTk0MTMwMTQ6c3BfYXRmOjMwMDE5MzkwOTY5NzAzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTSF1TK%2Fref%3Dsr_1_1_sspa%3Fcrid%3DZMI68NQ42PUE%26dib%3DeyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5KcEyJJLo0qSsfMuwpmqNqz7WiZMW_eo1NReISXz_Dt-1xCxVtN5bToSjjttDid7OgRvAMxBaAngU-u170imolbkQpED63XBr3xU4qwIvxSOqQ-ZHHNK5Mc8d76Sz8B629Wpf1G2VOpRS9RyXWSLrn7O7e6EIgeLMvVhtvBX2HKQXfK3OdMqswXwrV0_uHXC7GtjvZrcZ1if7tTNwp_cHpU.vwDNyLzimiTEHEtifBzN18_OeF4cpuO5-MkifTWf7TM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719413014%26sprefix%3Dlaptop%252Caps%252C243%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","31,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MTc4NTEyOTI1ODY2MTc3OjE3MTk0MTMwMTQ6c3BfYXRmOjMwMDIyMTgzNTQyNTEzMjo6MDo6&url=%2FHP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au%2Fdp%2FB09R1MMMTH%2Fref%3Dsr_1_2_sspa%3Fcrid%3DZMI68NQ42PUE%26dib%3DeyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5KcEyJJLo0qSsfMuwpmqNqz7WiZMW_eo1NReISXz_Dt-1xCxVtN5bToSjjttDid7OgRvAMxBaAngU-u170imolbkQpED63XBr3xU4qwIvxSOqQ-ZHHNK5Mc8d76Sz8B629Wpf1G2VOpRS9RyXWSLrn7O7e6EIgeLMvVhtvBX2HKQXfK3OdMqswXwrV0_uHXC7GtjvZrcZ1if7tTNwp_cHpU.vwDNyLzimiTEHEtifBzN18_OeF4cpuO5-MkifTWf7TM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719413014%26sprefix%3Dlaptop%252Caps%252C243%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","16,990",https://www.amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B00OKAFZHO/ref=sr_1_6?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5KcEyJJLo0qSsfMuwpmqNqz7WiZMW_eo1NReISXz_Dt-1xCxVtN5bToSjjttDid7OgRvAMxBaAngU-u170imolbkQpED63XBr3xU4qwIvxSOqQ-ZHHNK5Mc8d76Sz8B629Wpf1G2VOpRS9RyXWSLrn7O7e6EIgeLMvVhtvBX2HKQXfK3OdMqswXwrV0_uHXC7GtjvZrcZ1if7tTNwp_cHpU.vwDNyLzimiTEHEtifBzN18_OeF4cpuO5-MkifTWf7TM&dib_tag=se&keywords=laptop&qid=1719413014&sprefix=laptop%2Caps%2C243&sr=8-6
3,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","84,990",https://www.amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS/dp/B0CHMZRC89/ref=sr_1_72?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-72
4,"Dell Vostro 3530 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Win 11 + MSO'21 + 15 Month Mcafee, Black, 1.66kg  ","56,500",https://www.amazon.in//Dell-Generation-i5-1334U-Processor-39-62cm/dp/B0D46QQHW6/ref=sr_1_73?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-73
5,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.46Kg),83BF0043IN  ","63,890",https://www.amazon.in//Lenovo-IdeaPad-300Nits-BacklitKB-83BF0043IN/dp/B0CNK1VTZW/ref=sr_1_74?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-74
6,"Lenovo ThinkBook 15 G5 AMD Ryzen 7 7730U 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Backlit/Mineral Grey/1 Year Onsite/1.7 kg), 21JFA00BIN  ","44,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NzMxMjQ1ODM1Mjg5MTc3OjE3MTk0MTMwMjQ6c3BfbXRmOjMwMDE2NjY2Nzc3MDIzMjo6MDo6&url=%2FLenovo-ThinkBook-Antiglare-Fingerprint-21JFA00BIN%2Fdp%2FB0CGCRRC1Z%2Fref%3Dsr_1_75_sspa%3Fcrid%3DZMI68NQ42PUE%26dib%3DeyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719413024%26sprefix%3Dlaptop%252Caps%252C243%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
7,"Lenovo IdeaPad 3 12th Gen Intel Core i5-1235U 15.6"" (39.62cm) FHD Thin and Light Laptop (8GB/512GB SDD/Windows 11/Office 2021/Backlit/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK00EDIN  ","47,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NzMxMjQ1ODM1Mjg5MTc3OjE3MTk0MTMwMjQ6c3BfbXRmOjMwMDA1MDQzMTAyODczMjo6MDo6&url=%2FLenovo-i5-1235U-Anti-Glare-Warranty-82RK00EDIN%2Fdp%2FB0B7R7FF23%2Fref%3Dsr_1_76_sspa%3Fcrid%3DZMI68NQ42PUE%26dib%3DeyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719413024%26sprefix%3Dlaptop%252Caps%252C243%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8 GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005EIN  ","23,610",https://www.amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6005EIN/dp/B0CCS3F5LX/ref=sr_1_77?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-77
9,"MSI Modern 14, Intel 12th Gen. i7-1255U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12M-459IN  ","47,990",https://www.amazon.in//MSI-i7-1255U-Windows-Graphics-C12M-459IN/dp/B09YCX5F52/ref=sr_1_78?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-78
